Sample;Reads;;Bases;;Mean legth;;GC;;Q20;;Q30;;Reads retained [%];Low quality;Too short;Too many N;Duplication rate
;Before;After;Before;After;Before;After;Before;After;Before;After;Before;After;;;;;
S01;5761638;5629462;842185939;768448436;146;136;0,41207;0,4094;0,984083;0,988811;0,956923;0,965195;97,71;34678;97462;36;0,060572
S02;156;116;15529;12732;98;109;0,491274;0,498508;0,980231;0,9817;0,942173;0,94557;74,36;2;38;0;0,0128205
S03;592999438;583785800;88424391987;81045350134;149;138;0,477057;0,47542;0,979614;0,985377;0,944079;0,954559;98,45;6045454;3163878;4306;0,137099
S04;475529072;469131342;71166130607;65324819250;149;139;0,51065;0,509352;0,980521;0,98581;0,946209;0,955629;98,65;4262102;2131782;3846;0,187226
S05;14068;12980;1805466;1617584;128;124;0,370041;0,36315;0,985614;0,988755;0,958641;0,964539;92,27;50;1038;0;0,0359682
S06;223954816;220857110;33558154711;30750341336;149;139;0,488135;0,487397;0,974128;0,978994;0,928147;0,936627;98,62;1817162;1280320;224;0,142818
S07;546547562;538855500;81761298802;75025628036;149;139;0,504347;0,502554;0,978625;0,984076;0,940703;0,950499;98,59;5240142;2448442;3478;0,177895
S08;530399954;519580722;78996306032;72038004692;148;138;0,5258;0,525519;0,97827;0,9846;0,941105;0,952281;97,96;5392318;5422950;3964;0,143136
S09;494718744;487345182;74042966944;67846713865;149;139;0,469048;0,466434;0,978617;0,984714;0,941998;0,952819;98,51;5339268;2030322;3972;0,174124
S10;530450754;520668464;78501779085;71797630771;148;137;0,49075;0,488559;0,978795;0,985058;0,942774;0,953888;98,16;5861648;3916432;4210;0,134406
S11;143881996;142445386;21621086285;19873165168;150;139;0,458468;0,455848;0,974943;0,979879;0,930238;0,938854;99;1158784;277810;16;0,221064
S12;182664952;180673950;27481422513;25241127196;150;139;0,42463;0,421016;0,97568;0,981105;0,932793;0,942399;98,91;1723256;267720;26;0,256713
S13;201908798;200105878;30328550043;27938022356;150;139;0,435476;0,433534;0,979475;0,983852;0,942076;0,949856;99,11;1510052;292824;44;0,245788
S14;433805930;428523014;65108210920;59751896489;150;139;0,506199;0,503831;0,978673;0,984533;0,941762;0,952208;98,78;4316620;963712;2584;0,22237
S15;550715546;544273026;82415941937;75690793849;149;139;0,449452;0,446968;0,98124;0,986689;0,94848;0,958314;98,83;4737396;1700516;4608;0,234478
S16;555422208;549131612;83129799459;76452892218;149;139;0,463337;0,46106;0,981076;0,986051;0,947008;0,956043;98,87;4608132;1677732;4732;0,187759
S17;368959746;363590242;54604487687;50145140390;148;137;0,435605;0,433414;0,982477;0,987398;0,951185;0,960132;98,54;2919936;2446536;3032;0,125894
S18;153250452;151982218;23015347002;21199033238;150;139;0,429293;0,426899;0,978797;0,983089;0,940137;0,947727;99,17;1049780;218438;16;0,227311
S19;218970844;216154182;32815312402;30089699455;149;139;0,488863;0,487251;0,97552;0,981156;0,932787;0,942757;98,71;2183240;633224;198;0,182432
S20;441882946;437324390;66229933645;60978841260;149;139;0,465389;0,463587;0,979333;0,983743;0,941511;0,949466;98,97;3607666;950158;732;0,221031
S21;247374142;245510084;37153636903;34271469779;150;139;0,429971;0,427922;0,976623;0,98036;0,933364;0,939961;99,25;1525358;338676;24;0,211983
S22;176219792;174222756;26157746065;24088056860;148;138;0,441094;0,439201;0,981729;0,985638;0,947961;0,954943;98,87;1190936;806080;20;0,173452
S23;527390352;522705340;79027071479;72793930571;149;139;0,437781;0,435577;0,981273;0,985718;0,947374;0,95541;99,11;3483114;1198248;3650;0,196867
S24;83473626;82690840;12542490736;11545346272;150;139;0,474892;0,472649;0,976455;0,981054;0,933903;0,942002;99,06;671052;111730;4;0,233013
S25;472038816;467051176;70601651032;65022814452;149;139;0,461396;0,459688;0,983139;0,987677;0,952486;0,96074;98,94;3541632;1442328;3680;0,167371
S26;1727940;1711228;256722203;237085715;148;138;0,41242;0,409604;0,98584;0,988876;0,958763;0,96438;99,03;7776;8928;8;0,0579245
S27;24;22;3221;2852;136;129;0,560075;0,559607;0,963676;0,967742;0,905619;0,91129;91,67;0;2;0;0,0833333
S28;131117554;130026010;19701714571;18160654736;150;139;0,44131;0,438543;0,981816;0,986177;0,948523;0,95638;99,17;868194;222330;1020;0,160046
S29;294859574;292163856;44282736271;40784105152;150;139;0,428009;0,426043;0,978527;0,982948;0,939339;0,947219;99,09;2250756;444750;212;0,205444
S30;228972810;226965274;34408828203;31687539088;150;139;0,448225;0,446445;0,976997;0,981395;0,935134;0,942881;99,12;1722384;285124;28;0,213951
S31;707586714;700608814;1,05877E+11;97526588040;149;139;0,4356;0,4336;0,982726;0,98717;0,951398;0,959449;99,01;5022612;1949626;5662;0,218087
S32;311687634;308691568;46601340366;42971163294;149;139;0,438395;0,436192;0,977927;0,981574;0,936856;0,94338;99,04;2032656;962886;524;0,175414
S33;630345464;613345214;94087573947;84904932345;149;138;0,463707;0,463132;0,976379;0,984358;0,939194;0,952922;97,3;7305234;9689706;5310;0,173484
