Sample;Raw;After fastp;Pct retained;Utricularia;Pct host;Retained;Arthropod;Pct arthropod;µ length after;Q30 after;Duplicates rate
S01;2880819;2814731;97,71;393180;13,97;2421551;1228514;50,73;136;0,965;0,061
S02;78;58;74,36;6;10,34;52;23;44,23;109;0,946;0,013
S03;296499719;291892900;98,45;51213597;17,55;240679303;78816329;32,75;138;0,955;0,137
S04;237764536;234565671;98,65;45638107;19,46;188927564;51773203;27,4;139;0,956;0,187
S05;7034;6490;92,27;2156;33,22;4334;2407;55,54;124;0,965;0,036
S06;111977408;110428555;98,62;19513277;17,67;90915278;28327502;31,16;139;0,937;0,143
S07;273273781;269427750;98,59;54802251;20,34;214625499;67926760;31,65;139;0,950;0,178
S08;265199977;259790361;97,96;21351439;8,22;238438922;59683139;25,03;138;0,952;0,143
S09;247359372;243672591;98,51;20556156;8,44;223116435;89213565;39,99;139;0,953;0,174
S10;265225377;260334232;98,16;42086159;16,17;218248073;75672011;34,67;137;0,954;0,134
S11;71940998;71222693;99;19716935;27,68;51505758;19691196;38,23;139;0,939;0,221
S12;91332476;90336975;98,91;29254020;32,38;61082955;31357937;51,34;139;0,942;0,257
S13;100954399;100052939;99,11;43677044;43,65;56375895;18908712;33,54;139;0,950;0,246
S14;216902965;214261507;98,78;67760932;31,63;146500575;44773487;30,56;139;0,952;0,222
S15;275357773;272136513;98,83;147707084;54,28;124429429;35326992;28,39;139;0,958;0,234
S16;277711104;274565806;98,87;112476413;40,97;162089393;47139724;29,08;139;0,956;0,188
S17;184479873;181795121;98,54;87643787;48,21;94151334;32867415;34,91;137;0,960;0,126
S18;76625226;75991109;99,17;43383220;57,09;32607889;11262765;34,54;139;0,948;0,227
S19;109485422;108077091;98,71;31444668;29,09;76632423;21329540;27,83;139;0,943;0,182
S20;220941473;218662195;98,97;73268996;33,51;145393199;43835991;30,15;139;0,949;0,221
S21;123687071;122755042;99,25;59443356;48,42;63311686;22164139;35,01;139;0,940;0,212
S22;88109896;87111378;98,87;41858782;48,05;45252596;15478320;34,2;138;0,955;0,173
S23;263695176;261352670;99,11;133680683;51,15;127671987;45963683;36;139;0,955;0,197
S24;41736813;41345420;99,06;13874088;33,56;27471332;8197481;29,84;139;0,942;0,233
S25;236019408;233525588;98,94;78491180;33,61;155034408;45968098;29,65;139;0,961;0,167
S26;863970;855614;99,03;310107;36,24;545507;225130;41,27;138;0,964;0,058
S27;12;11;91,67;3;27,27;8;5;62,5;129;0,911;0,083
S28;65558777;65013005;99,17;29448737;45,3;35564268;11095985;31,2;139;0,956;0,160
S29;147429787;146081928;99,09;67084834;45,92;78997094;27310913;34,57;139;0,947;0,205
S30;114486405;113482637;99,12;49577684;43,69;63904953;20487102;32,06;139;0,943;0,214
S31;353793357;350304407;99,01;142245780;40,61;208058627;78218834;37,59;139;0,959;0,218
S32;155843817;154345784;99,04;56765178;36,78;97580606;39156161;40,13;139;0,943;0,175
S33;315172732;306672607;97,3;38499649;12,55;268172958;114841502;42,82;138;0,953;0,173
