sample,pond,species,situation
S01,III,Uaus,other
S02,II,Uaus,1_bremii
S03,I,Uaus,0_cooccur
S04,I,Uaus,0_cooccur
S05,IV,Uaus,other
S06,VII,Uaus,2_australis
S07,VII,Uaus,2_australis
S08,VI,Uaus,2_australis
S09,V,Uaus,2_australis
S10,V,Uaus,2_australis
S11,II,Ubrem,1_bremii
S12,II,Ubrem,1_bremii
S13,II,Ubrem,1_bremii
S14,I,Ubrem,0_cooccur
S15,I,Ubrem,0_cooccur
S16,I,Ubrem,0_cooccur
S17,I,Ubrem,0_cooccur
S18,I,Ubrem,0_cooccur
S19,I,Ubrem,0_cooccur
S20,I,Ubrem,0_cooccur
S21,IV,Ubrem,other
S22,II,Ubrem,1_bremii
S23,II,Ubrem,1_bremii
S24,II,Ubrem,1_bremii
S25,II,Ubrem,1_bremii
S26,II,Ubrem,1_bremii
S27,II,Ubrem,1_bremii
S28,II,Ubrem,1_bremii
S29,II,Ubrem,1_bremii
S30,II,Ubrem,1_bremii
S31,II,Ubrem,1_bremii
S32,V,Uaus,2_australis
S33,V,Uaus,2_australis
